,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC
4446,2017534016,2017534016544100,5441,0,traffic-accident,traffic-accident,8/11/2017 5:01:00 PM,,8/11/2017 8:08:00 PM,N SPEER BLVD / WEWATTA ST,3139226.0,1698497.0,-105.0048512,39.7501376,1,123,auraria,0,1
4447,201597755,201597755239900,2399,0,theft-other,larceny,2/19/2015 1:00:00 PM,2/19/2015 1:10:00 PM,2/19/2015 1:25:00 PM,950 10TH ST,3140056.0,1695122.0,-105.0019652,39.7408602,1,123,auraria,1,0
4448,2016282521,2016282521230800,2308,0,theft-from-bldg,larceny,5/6/2016 1:30:00 PM,,5/6/2016 1:30:00 PM,1050 10TH ST,3139785.0,1695481.0,-105.0029218,39.7418498,1,123,auraria,1,0
4449,2016234200,2016234200489900,4899,0,police-interference,all-other-crimes,4/15/2016 1:20:00 PM,,4/15/2016 1:20:00 PM,1111 W COLFAX AVE,3139662.0,1696541.0,-105.0033386,39.7447615,1,123,auraria,1,0
4450,2016374083,2016374083239901,2399,1,theft-bicycle,larceny,6/14/2016 3:30:00 PM,6/14/2016 6:30:00 PM,6/14/2016 6:45:00 PM,1111 W COLFAX AVE,3139662.0,1696541.0,-105.0033386,39.7447615,1,123,auraria,1,0
4451,2016730216,2016730216480300,4803,0,police-false-information,all-other-crimes,11/14/2016 11:28:00 AM,11/14/2016 11:28:00 AM,11/14/2016 11:28:00 AM,1200 7TH ST,3138405.0,1695628.0,-105.0078262,39.7422739,1,123,auraria,1,0
4452,2017422,2017422240400,2404,0,theft-of-motor-vehicle,auto-theft,12/31/2016 6:00:00 PM,1/1/2017 2:30:00 AM,1/1/2017 3:25:00 AM,N SPEER BLVD / LARIMER ST,3140197.0,1697145.0,-105.0014243,39.7464115,1,123,auraria,1,0
4453,201790008,201790008739902,7399,2,public-order-crimes-other,all-other-crimes,2/9/2017 12:40:00 AM,,2/9/2017 1:58:00 AM,N SPEER BLVD / ELITCH CIR,3138494.0,1699324.0,-105.0074385,39.7524188,1,123,auraria,1,0
4454,2018611863,2018611863131300,1313,0,assault-simple,other-crimes-against-persons,9/6/2018 8:53:00 PM,,9/6/2018 8:53:00 PM,,3137727.0,1695300.0,-105.0102435,39.7413836,1,123,auraria,1,0
4455,2018665890,2018665890353200,3532,0,drug-cocaine-possess,drug-alcohol,9/28/2018 2:50:00 AM,,9/28/2018 3:50:00 AM,14TH ST / MARKET ST,3140163.0,1697662.0,-105.0015351,39.7478313,6,612,auraria,1,0
4456,2017793036,2017793036549902,5499,2,vehicular-eluding-no-chase,all-other-crimes,11/26/2017 11:21:00 PM,11/26/2017 11:24:00 PM,11/26/2017 11:24:00 PM,8TH ST / WALNUT ST,3138477.0,1696411.0,-105.0075551,39.7444223,1,123,auraria,1,0
4457,2017801779,2017801779540100,5401,0,traffic-accident-hit-and-run,traffic-accident,11/30/2017 2:22:00 PM,,11/30/2017 2:22:00 PM,700 BLK WALNUT ST,3138433.0,1696414.0,-105.0077115,39.7444312,1,123,auraria,0,1
4458,2017805607,2017805607544100,5441,0,traffic-accident,traffic-accident,12/2/2017 9:21:00 AM,,12/2/2017 9:21:00 AM,N SPEER BLVD / AURARIA CHOPPER ALY,3139519.0,1698103.0,-105.0038168,39.7490516,1,123,auraria,0,1
4459,2017798431,2017798431501601,5016,1,violation-of-court-order,all-other-crimes,11/29/2017 8:36:00 AM,,11/29/2017 8:36:00 AM,900 AURARIA PKWY,3138868.0,1696647.0,-105.0061601,39.7450644,1,123,auraria,1,0
4460,2018574041,2018574041239900,2399,0,theft-other,larceny,8/22/2018 11:30:00 AM,8/22/2018 3:45:00 PM,8/22/2018 6:45:00 PM,1201 LARIMER ST,3139956.0,1697085.0,-105.0022825,39.7462505,1,123,auraria,1,0
4461,2018663080,2018663080544100,5441,0,traffic-accident,traffic-accident,9/26/2018 10:00:00 PM,,9/26/2018 11:55:00 PM,14TH ST / BLAKE ST,3140014.0,1697967.0,-105.0020591,39.7486708,6,612,auraria,0,1
4462,2018471049,2018471049230800,2308,0,theft-from-bldg,larceny,7/11/2018 5:55:00 PM,7/11/2018 5:57:00 PM,7/12/2018 10:38:00 AM,1155 10TH ST,3139657.0,1696016.0,-105.0033666,39.7433204,1,123,auraria,1,0
4463,2018476163,2018476163230200,2302,0,theft-purse-snatch-no-force,larceny,7/14/2018 8:28:00 AM,,7/14/2018 9:13:00 AM,N SPEER BLVD / WEWATTA ST,3139226.0,1698497.0,-105.0048512,39.7501376,1,123,auraria,1,0
4464,2018472055,2018472055570700,5707,0,criminal-trespassing,all-other-crimes,7/12/2018 7:30:00 AM,7/12/2018 5:05:00 PM,7/12/2018 5:12:00 PM,1351 5TH ST,3137598.0,1695904.0,-105.0106906,39.7430436,1,123,auraria,1,0
4465,2018473715,2018473715544100,5441,0,traffic-accident,traffic-accident,7/13/2018 10:44:00 AM,,7/13/2018 11:53:00 AM,,3137087.0,1698042.0,-105.0124669,39.7489203,1,123,auraria,0,1
4466,20186008955,20186008955239900,2399,0,theft-other,larceny,9/10/2018 8:00:00 PM,9/11/2018 8:45:00 AM,9/11/2018 9:11:00 AM,1000 CHOPPER CIR,3137671.0,1697315.0,-105.01040400000001,39.7469159,1,123,auraria,1,0
4467,2018446961,2018446961239900,2399,0,theft-other,larceny,7/3/2018 2:00:00 PM,7/3/2018 2:25:00 PM,7/3/2018 2:28:00 PM,2050 ELITCH CIR,3138189.0,1699059.0,-105.0085283,39.7516958,1,123,auraria,1,0
4468,2018646586,2018646586239900,2399,0,theft-other,larceny,9/20/2018 2:00:00 AM,9/20/2018 5:00:00 AM,9/20/2018 1:18:00 PM,N SPEER BLVD / LAWRENCE ST,3140398.0,1696729.0,-105.0007177,39.7452665,1,123,auraria,1,0
4469,2018610942,2018610942544100,5441,0,traffic-accident,traffic-accident,9/6/2018 2:16:00 PM,,9/6/2018 2:16:00 PM,LARIMER ST / 11TH ST,3139860.0,1696942.0,-105.0026267,39.7458593,1,123,auraria,0,1
4470,2018630528,2018630528220300,2203,0,burglary-business-by-force,burglary,9/7/2018 5:00:00 PM,9/11/2018 8:00:00 AM,9/14/2018 8:17:00 AM,1200 LARIMER ST,3140028.0,1696884.0,-105.0020304,39.7456976,1,123,auraria,1,0
